,Tweets
38,"RT @TheLallantop: संतकबीर नगर: पिटने वाले विधायक ने सांसद से झगड़े का कारण बताया है 
https://t.co/iV011pB1hh

#SharadTripathi #Santkabirnag…"
39,"RT @VoiceofmyBharat: मदरसे में CCTV कैमरा लगाने वाली BJP सरकार खुद के रक्षा मंत्रालय में cctv कैमरा लगाना भूल गयी ?

#RafaleFilesStolen"
40,RT @radhikagureja1: #mera pariwar bhajpa pariwar    नॉनस्टॉप 100: लोकसभा में BJP ने 'सज्जन' का मुद्दा उठाया
41,"RT @YesIAMTaru: Return to your roots~Apply Tilak on ur forehead.
#SelfieWithTilak https://t.co/yunlHiZLqN"
42,RT @RanjanSukesh: Give a caption please! Marking this to all who's who of bjp. Apne yodhha ko dekhen to sahi @narendramodi @AmitShah @myogi…
43,"RT @GhandhiPriyanka: भगवा पहने लोग कश्मीरियो को पिट रहे है? जनता न्यूज चैनल को कूट रही है, सांसद अपने दल के विधायक को जुते से पेल रहा है?…"
44,"RT @CR_Chaudhary_rj: सबूत मांगने वालो यह रहा सबूत देख लो और पहचान लो तुम्हारे बाप  को ! 
#SabootChahiyePakJao 
#SauBaatKiEkBaat 
#ModiOnceM…"
45,"RT @ideveshsharma1: दोस्तों,
मेरे Account में हिंदुस्तान और पाकिस्तान का युद्ध चल रहा है !!

पाकिस्तानी मुझे पूरी रफ्तार से Unfollow कर रहे…"
46,"@Swamy39 #Rafale

#BJP #RSS #NDA #Modi @RSSorg @BJP4India #ArunJaitley @arunjaitley #NarendraModi @narendramodi… https://t.co/7WykSvWk0T"
47,"RT @bainjal: The Bjp is not a political party anymore but, a majoritarian terror organisation https://t.co/R2xIxEo0CL"
48,"Bjp itself is trending such useless hashtags.

India should focus on fixing the security lapse and eradicating thre… https://t.co/t74RML0RcG"
49,RT @namomerchandise: BJP President @AmitShah launched NaMo Rath at the BJP Headquarters! https://t.co/Zsl2j7dSWQ
50,RT @PiyushGoyal: PM @NarendraModi will visit Kalaburagi in Karnataka and Kancheepuram in Tamil Nadu today to inaugurate various infrastruct…
51,"RT @RealHistoryPic: Today:

1) Rafale file stolen from Defense Ministry.

2) BJP MP beats Black &amp; Blue to a BJP MLA.

3) A youth thrashed b…"
52,"RT @narendramodi: Looking forward to interacting with BJP Karyakartas from Bilaspur, Basti, Dhanbad, Chittorgarh and Mandsaur Lok Sabha sea…"
53,"@ManishTewari Buildings on fire in BJP Govt run locations
Crucial documents burnt 
Now a criminal claim of docs sto… https://t.co/dEebIvXPTC"
54,RT @drshamamohd: Dr. Manmohan Singh never travelled for official &amp; non-official work on the same trip as PM. He always kept them seperate.…
